,infj,intj,intp,infp,estj,esfj,entj,enfj,estp,esfp,entp,enfp,isfj,isfp,istj,istp
infj,4150,1040,513,1501,78,56,266,363,12,52,261,671,173,81,92,27
intj,1082,896,300,644,50,33,198,201,17,26,139,356,97,31,52,16
intp,550,353,755,462,27,36,127,155,19,31,204,256,58,41,38,32
infp,1535,710,432,1486,59,47,142,289,25,33,192,532,145,74,64,34
estj,71,64,32,41,25,20,42,53,4,8,37,53,16,5,12,6
esfj,62,46,45,69,22,47,28,46,6,22,31,73,21,13,12,13
entj,281,236,120,151,42,27,267,106,9,23,88,140,28,20,31,13
enfj,384,224,166,262,41,33,105,337,14,32,98,269,72,39,31,16
estp,12,26,18,19,6,7,12,14,62,7,16,20,8,5,5,3
esfp,65,32,44,37,7,18,26,32,5,40,30,46,15,10,8,3
entp,338,177,228,202,36,35,86,106,15,27,589,183,56,38,33,23
enfp,760,401,274,581,51,62,151,297,19,39,176,897,90,57,50,16
isfj,187,112,51,136,19,32,31,60,7,16,57,79,69,25,15,14
isfp,90,32,54,93,7,19,22,44,12,19,33,54,22,156,9,27
istj,137,80,40,82,14,12,35,41,1,9,39,53,14,7,41,4
istp,34,24,23,36,4,15,12,17,6,2,33,10,14,17,7,82
